,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
0,0,3,male,-0.5973544895034857,1,0,-0.8171364171248408,S,Third,man,True,S,no,False,1
2,1,3,female,-0.222648200870974,0,0,-0.7674098734159038,S,Third,woman,False,S,yes,True,0
3,1,1,female,0.620440948552178,1,0,2.5605851074007235,S,First,woman,False,S,yes,False,1
4,0,3,male,0.620440948552178,0,0,-0.7582012542105451,S,Third,man,True,S,no,True,0
5,0,3,male,0.12387246031513621,0,0,-0.7281222204381615,Q,Third,man,True,Q,no,True,0
6,0,1,male,2.4002958195566095,0,0,2.4694197772676723,S,First,man,True,S,no,True,0
8,1,3,female,-0.12897162871284584,0,2,-0.5310577694434857,S,Third,woman,False,S,yes,False,2
9,1,2,female,-1.3467670667685094,1,0,0.8640480401683542,C,Second,child,False,C,yes,False,1
10,1,3,female,-2.2835327883497896,1,1,-0.12096480519972434,S,Third,child,False,S,yes,False,2
12,0,3,male,-0.7847076338197417,0,0,-0.7582012542105451,S,Third,man,True,S,no,True,0
13,0,3,male,0.9951472371846896,1,5,0.9527601941450976,S,Third,man,True,S,no,False,6
14,0,3,female,-1.3467670667685094,0,0,-0.772625635333819,S,Third,child,False,S,no,True,0
17,1,2,male,0.12387246031513621,0,0,-0.39353993367834134,S,Second,man,True,S,yes,True,0
18,0,3,female,0.2457346599196658,1,0,-0.02519516546399406,S,Third,woman,False,S,no,False,1
19,1,3,female,0.12387246031513621,0,0,-0.8189781409659125,C,Third,woman,False,C,yes,True,0
20,0,2,male,0.620440948552178,0,0,0.5641564636789616,S,Second,man,True,S,no,True,0
21,1,2,male,0.5267643763940498,0,0,-0.39353993367834134,S,Second,man,True,S,yes,True,0
22,1,3,female,-1.2530904946103816,0,0,-0.7597335684463169,Q,Third,child,False,Q,yes,True,0
23,1,1,male,-0.03529505655471765,0,0,1.2640115232862215,S,First,man,True,S,yes,True,0
24,0,3,female,-1.9088264997172775,3,1,0.2013368669878294,S,Third,child,False,S,no,False,4
25,1,3,female,0.9014706650265619,1,5,0.9610479514299205,S,Third,woman,False,S,yes,False,6
26,0,3,male,0.12387246031513621,0,0,-0.8189781409659125,C,Third,man,True,C,no,True,0
28,1,3,female,0.12387246031513621,0,0,-0.7707839114927473,Q,Third,woman,False,Q,yes,True,0
29,0,3,male,0.12387246031513621,0,0,-0.7695610068622756,S,Third,man,True,S,no,True,0
30,0,1,male,1.088823809342818,0,0,0.6909259991076113,C,First,man,True,C,no,True,0
32,1,3,female,0.12387246031513621,0,0,-0.780301940303406,Q,Third,woman,False,Q,yes,True,0
35,0,1,male,1.2761769536590737,1,0,2.479549258393567,S,First,man,True,S,no,False,1
36,1,3,male,0.12387246031513621,0,0,-0.8186687313606125,C,Third,man,True,C,yes,True,0
37,0,3,male,-0.6910310616616139,0,0,-0.7582012542105451,S,Third,man,True,S,no,True,0
38,0,3,female,-0.9720607781359979,2,0,-0.02519516546399406,S,Third,woman,False,S,no,False,2
39,1,3,female,-1.3467670667685094,1,0,-0.5230720548685988,C,Third,child,False,C,yes,False,1
40,0,3,female,1.088823809342818,1,0,-0.6532229952694563,S,Third,woman,False,S,no,False,1
41,0,2,female,-0.12897162871284584,1,0,0.19581169546461424,S,Second,woman,False,S,no,False,1
42,0,3,male,0.12387246031513621,0,0,-0.7695610068622756,C,Third,man,True,C,no,True,0
43,1,2,female,-2.3772093605079174,1,2,1.7118598262719533,C,Second,child,False,C,yes,False,3
44,1,3,female,-0.8783842059778697,0,0,-0.7707839114927473,Q,Third,woman,False,Q,yes,True,0
45,0,3,male,0.12387246031513621,0,0,-0.7582012542105451,S,Third,man,True,S,no,True,0
46,0,3,male,0.12387246031513621,1,0,-0.20936754957116785,Q,Third,man,True,Q,no,False,1
48,0,3,male,0.12387246031513621,2,0,0.2458476487788512,C,Third,man,True,C,no,False,2
49,0,3,female,-0.9720607781359979,1,0,-0.039928956192567935,S,Third,woman,False,S,no,False,1
50,0,3,male,-2.0025030718754055,4,1,1.572500266665737,S,Third,child,False,S,no,False,5
51,0,3,male,-0.6910310616616139,0,0,-0.7766184926212625,S,Third,man,True,S,no,True,0
53,1,2,female,0.05838151560341,1,0,0.5641564636789616,S,Second,woman,False,S,yes,False,1
55,1,1,male,0.12387246031513621,0,0,1.2640115232862215,S,First,man,True,S,yes,True,0
56,1,2,female,-0.6910310616616139,0,0,-0.577712317785515,S,Second,woman,False,S,yes,True,0
57,0,3,male,0.011543229524346173,0,0,-0.8186687313606125,C,Third,man,True,C,no,True,0
58,1,2,female,-2.1898562161916617,1,2,0.6930771325539831,S,Second,child,False,S,yes,False,3
59,0,3,male,-1.6277967832428935,5,2,2.103837594814933,S,Third,child,False,S,no,False,7
60,0,3,male,-0.5973544895034857,0,0,-0.8186687313606125,C,Third,man,True,C,no,True,0
63,0,3,male,-2.2835327883497896,3,2,0.7041274756004134,S,Third,child,False,S,no,False,5
64,0,1,male,0.12387246031513621,0,0,0.6909259991076113,C,First,man,True,C,no,True,0
65,1,3,male,0.12387246031513621,1,1,-0.2280941975871853,C,Third,man,True,C,yes,False,2
66,1,2,female,0.05838151560341,0,0,-0.577712317785515,S,Second,woman,False,S,yes,True,0
67,0,3,male,-0.8783842059778697,0,0,-0.7502229065310224,S,Third,man,True,S,no,True,0
68,1,3,female,-1.0657373502941256,4,2,-0.7674098734159038,S,Third,woman,False,S,yes,False,6
69,0,3,male,-0.222648200870974,2,0,-0.7130790201042877,S,Third,man,True,S,no,False,2
70,0,2,male,0.339411232077794,0,0,-0.577712317785515,S,Second,man,True,S,no,True,0
71,0,3,female,-1.1594139224522537,5,2,2.103837594814933,S,Third,woman,False,S,no,False,7
73,0,3,male,-0.222648200870974,1,0,-0.28641054129088067,C,Third,man,True,C,no,False,1
74,1,3,male,0.339411232077794,0,0,2.8107501401811796,S,Third,man,True,S,yes,True,0
75,0,3,male,-0.31632477302910195,0,0,-0.7876688356676929,S,Third,man,True,S,no,True,0
79,1,3,female,0.15205808776153817,0,0,-0.43221613434084794,S,Third,woman,False,S,yes,True,0
80,0,3,male,-0.5973544895034857,0,0,-0.6882157482498191,S,Third,man,True,S,no,True,0
81,1,3,male,0.05838151560341,0,0,-0.6513812714283845,S,Third,man,True,S,yes,True,0
82,1,3,female,0.12387246031513621,0,0,-0.7775393545417985,Q,Third,woman,False,Q,yes,True,0
83,0,1,male,-0.03529505655471765,0,0,2.1185713855435067,S,First,man,True,S,no,True,0
84,1,2,female,-1.0657373502941256,0,0,-0.577712317785515,S,Second,woman,False,S,yes,True,0
85,1,3,female,0.43308780423592214,3,0,-0.18358341579616339,S,Third,woman,False,S,yes,False,3
86,0,3,male,-1.1594139224522537,1,3,1.1811339504379932,S,Third,man,True,S,no,False,4
89,0,3,male,-0.41000134518722986,0,0,-0.7582012542105451,S,Third,man,True,S,no,True,0
90,0,3,male,0.05838151560341,0,0,-0.7582012542105451,S,Third,man,True,S,no,True,0
91,0,3,male,-0.7847076338197417,0,0,-0.772625635333819,S,Third,man,True,S,no,True,0
92,0,1,male,1.650883242291586,1,0,3.155461908066894,S,First,man,True,S,no,False,1
93,0,3,male,-0.222648200870974,1,2,0.16450239016639462,S,Third,man,True,S,no,False,3
98,1,2,female,0.5267643763940498,0,1,0.3431496027503532,S,Second,woman,False,S,yes,False,1
99,0,2,male,0.5267643763940498,1,0,0.5641564636789616,S,Second,man,True,S,no,False,1
100,0,3,female,-0.03529505655471765,0,0,-0.7695610068622756,S,Third,woman,False,S,no,True,0
103,0,3,male,0.43308780423592214,0,0,-0.7136904724195234,S,Third,man,True,S,no,True,0
104,0,3,male,0.8077940928684338,2,0,-0.7674098734159038,S,Third,man,True,S,no,False,2
105,0,3,male,-0.03529505655471765,0,0,-0.7695610068622756,S,Third,man,True,S,no,True,0
106,1,3,female,-0.6910310616616139,0,0,-0.7876688356676929,S,Third,woman,False,S,yes,True,0
107,1,3,male,0.12387246031513621,0,0,-0.7784602164623343,S,Third,man,True,S,yes,True,0
108,0,3,male,0.9014706650265619,0,0,-0.7695610068622756,S,Third,man,True,S,no,True,0
109,1,3,female,0.12387246031513621,1,0,0.4278688994396529,Q,Third,woman,False,Q,yes,False,1
110,0,1,male,1.7445598144497136,0,0,2.479549258393567,S,First,man,True,S,no,True,0
111,0,3,female,-1.2999287806894457,1,0,-0.28641054129088067,C,Third,child,False,C,no,False,1
112,0,3,male,-0.5973544895034857,0,0,-0.7582012542105451,S,Third,man,True,S,no,True,0
113,0,3,female,-0.7847076338197417,1,0,-0.6274388614944519,S,Third,woman,False,S,no,False,1
114,0,3,female,-1.0657373502941256,0,0,-0.28610849858094495,C,Third,woman,False,C,no,True,0
115,0,3,male,-0.6910310616616139,0,0,-0.7674098734159038,S,Third,man,True,S,no,True,0
117,0,2,male,0.05838151560341,1,0,0.19581169546461424,S,Second,man,True,S,no,False,1
122,0,2,male,0.3862495181568578,1,0,0.8640480401683542,C,Second,man,True,C,no,False,1
123,1,2,female,0.3862495181568578,0,0,-0.39353993367834134,S,Second,woman,False,S,yes,True,0
125,1,3,male,-1.5341202110847656,1,0,-0.5230720548685988,C,Third,child,False,C,yes,False,1
126,0,3,male,0.12387246031513621,0,0,-0.780301940303406,Q,Third,man,True,Q,no,True,0
127,1,3,male,-0.41000134518722986,0,0,-0.8251147648043635,S,Third,man,True,S,yes,True,0
128,1,3,female,0.12387246031513621,1,1,0.2958762351977237,C,Third,woman,False,C,yes,False,2
129,0,3,male,1.5572066701334577,0,0,-0.8373953793766299,S,Third,man,True,S,no,True,0
130,0,3,male,0.43308780423592214,0,0,-0.7695610068622756,C,Third,man,True,C,no,True,0
131,0,3,male,-0.7847076338197417,0,0,-0.8318702078534147,S,Third,man,True,S,no,True,0
132,0,3,female,1.7445598144497136,1,0,-0.28303650321403717,S,Third,woman,False,S,no,False,1
134,0,2,male,-0.31632477302910195,0,0,-0.39353993367834134,S,Second,man,True,S,no,True,0
135,0,2,male,-0.5036779173453578,0,0,-0.24282798831575905,C,Second,man,True,C,no,True,0
136,1,1,female,-0.8783842059778697,0,2,0.5850268782459864,S,First,woman,False,S,yes,False,2
137,0,1,male,0.8077940928684338,1,0,2.5605851074007235,S,First,man,True,S,no,False,1
138,0,3,male,-1.1594139224522537,0,0,-0.6722516859954094,S,Third,man,True,S,no,True,0
140,0,3,female,0.12387246031513621,0,2,-0.2280941975871853,C,Third,woman,False,C,no,False,2
141,1,3,female,-0.5973544895034857,0,0,-0.780301940303406,S,Third,woman,False,S,yes,True,0
142,1,3,female,-0.41000134518722986,1,0,-0.18358341579616339,S,Third,woman,False,S,yes,False,1
143,0,3,male,-0.8783842059778697,0,0,-0.8539708939462753,Q,Third,man,True,Q,no,True,0
144,0,2,male,-0.9720607781359979,0,0,-0.5040433641426455,S,Second,man,True,S,no,True,0
145,0,2,male,-0.8783842059778697,1,1,1.3560977153398084,S,Second,man,True,S,no,False,2
146,1,3,male,-0.12897162871284584,0,0,-0.7769279022265626,S,Third,man,True,S,yes,True,0
147,0,3,female,-1.8151499275591494,2,2,1.1811339504379932,S,Third,child,False,S,no,False,4
148,0,2,male,0.76095580678937,0,2,0.5641564636789616,S,Second,man,True,S,no,False,2
149,0,2,male,1.2761769536590737,0,0,-0.39353993367834134,S,Second,man,True,S,no,True,0
150,0,2,male,2.1192661030822255,0,0,-0.4285326866587044,S,Second,man,True,S,no,True,0
153,0,3,male,1.135662095421882,0,2,-0.28303650321403717,S,Third,man,True,S,no,False,2
154,0,3,male,0.12387246031513621,0,0,-0.8125321075221613,S,Third,man,True,S,no,True,0
155,0,1,male,2.1192661030822255,0,1,3.170505108400768,C,First,man,True,C,no,False,1
156,1,3,female,-1.1594139224522537,0,0,-0.7815322118292419,Q,Third,woman,False,Q,yes,True,0
157,0,3,male,0.15205808776153817,0,0,-0.7582012542105451,S,Third,man,True,S,no,True,0
158,0,3,male,0.12387246031513621,0,0,-0.7130790201042877,S,Third,man,True,S,no,True,0
160,0,3,male,1.46353009797533,0,1,-0.16516617738544598,S,Third,man,True,S,no,False,1
161,1,2,female,1.088823809342818,0,0,-0.19095031116045044,S,Second,woman,False,S,yes,True,0
162,0,3,male,-0.222648200870974,0,0,-0.7784602164623343,S,Third,man,True,S,no,True,0
163,0,3,male,-1.0657373502941256,0,0,-0.7130790201042877,S,Third,man,True,S,no,True,0
165,1,3,male,-1.8151499275591494,0,2,0.16081894248425108,S,Third,child,False,S,yes,False,2
166,1,1,female,0.12387246031513621,0,1,2.7005561193221754,S,First,woman,False,S,yes,False,1
167,0,3,female,1.5572066701334577,1,4,0.7041274756004134,S,Third,woman,False,S,no,False,5
168,0,1,male,0.12387246031513621,0,0,0.5586312921557464,S,First,man,True,S,no,True,0
169,0,3,male,-0.03529505655471765,0,0,2.8107501401811796,S,Third,man,True,S,no,True,0
171,0,3,male,-2.2835327883497896,4,1,0.7943719438129285,Q,Third,child,False,Q,no,False,5
175,0,3,male,-0.9720607781359979,1,1,-0.772625635333819,S,Third,man,True,S,no,False,2
176,0,3,male,0.12387246031513621,3,1,0.5248688107012192,S,Third,man,True,S,no,False,4
177,0,1,female,2.0255895309240977,0,0,0.7639835004352448,C,First,woman,False,C,no,True,0
178,0,2,male,0.15205808776153817,0,0,-0.39353993367834134,S,Second,man,True,S,no,True,0
179,0,3,male,0.7141175207103057,0,0,-1.3512363310356441,S,Third,man,True,S,no,True,0
181,0,2,male,0.12387246031513621,0,0,-0.24251857871045898,C,Second,man,True,C,no,True,0
182,0,3,male,-1.8151499275591494,4,2,0.9610479514299205,S,Third,child,False,S,no,False,6
184,1,3,female,-2.2835327883497896,0,2,0.27132237294855527,S,Third,child,False,S,yes,False,2
185,0,1,male,0.12387246031513621,0,0,2.332211351107828,S,First,man,True,S,no,True,0
186,1,3,female,0.12387246031513621,1,0,-0.20936754957116785,Q,Third,woman,False,Q,yes,False,1
187,1,1,male,1.5572066701334577,0,0,0.6046743881825396,S,First,man,True,S,yes,True,0
188,0,3,male,1.088823809342818,1,1,-0.20936754957116785,Q,Third,man,True,Q,no,False,2
189,0,3,male,0.7141175207103057,0,0,-0.7695610068622756,S,Third,man,True,S,no,True,0
190,1,2,female,0.339411232077794,0,0,-0.39353993367834134,S,Second,woman,False,S,yes,True,0
191,0,2,male,-0.8783842059778697,0,0,-0.39353993367834134,S,Second,man,True,S,no,True,0
192,1,3,female,-0.8783842059778697,1,0,-0.772625635333819,S,Third,woman,False,S,yes,False,1
193,1,2,male,-2.3772093605079174,1,1,0.5641564636789616,S,Second,child,False,S,yes,False,2
194,1,1,female,1.46353009797533,0,0,0.6909259991076113,C,First,woman,False,C,yes,True,0
197,0,3,male,1.2761769536590737,0,1,-0.7321077108302408,S,Third,man,True,S,no,False,1
199,0,2,female,-0.41000134518722986,0,0,-0.39353993367834134,S,Second,woman,False,S,no,True,0
200,0,3,male,-0.03529505655471765,0,0,-0.6513812714283845,S,Third,man,True,S,no,True,0
202,0,3,male,0.5267643763940498,0,0,-0.8726975419622929,S,Third,man,True,S,no,True,0
203,0,3,male,1.6040449562125216,0,0,-0.8189781409659125,C,Third,man,True,C,no,True,0
204,1,3,male,-0.9720607781359979,0,0,-0.7582012542105451,S,Third,man,True,S,yes,True,0
206,0,3,male,0.339411232077794,1,0,-0.18358341579616339,S,Third,man,True,S,no,False,1
207,1,3,male,-0.222648200870974,0,0,0.0328191355297656,C,Third,man,True,C,yes,True,0
208,1,3,female,-1.1594139224522537,0,0,-0.780301940303406,Q,Third,woman,False,Q,yes,True,0
209,1,1,male,1.088823809342818,0,0,0.9325012318933086,C,First,man,True,C,yes,True,0
210,0,3,male,-0.41000134518722986,0,0,-0.8318702078534147,S,Third,man,True,S,no,True,0
211,1,2,female,0.620440948552178,0,0,0.19581169546461424,S,Second,woman,False,S,yes,True,0
212,0,3,male,-0.5973544895034857,0,0,-0.8171364171248408,S,Third,man,True,S,no,True,0
214,0,3,male,0.12387246031513621,1,0,-0.780301940303406,Q,Third,man,True,Q,no,False,1
216,1,3,female,-0.12897162871284584,0,0,-0.7674098734159038,S,Third,woman,False,S,yes,True,0
217,0,2,male,1.2761769536590737,1,0,0.6378254173218308,S,Second,man,True,S,no,False,1
219,0,2,male,0.15205808776153817,0,0,-0.577712317785515,S,Second,man,True,S,no,True,0
220,1,3,male,-1.1594139224522537,0,0,-0.7582012542105451,S,Third,man,True,S,yes,True,0
221,0,2,male,-0.12897162871284584,0,0,-0.39353993367834134,S,Second,man,True,S,no,True,0
222,0,3,male,2.1192661030822255,0,0,-0.7582012542105451,S,Third,man,True,S,no,True,0
225,0,3,male,-0.5973544895034857,0,0,-0.6624316144748149,S,Third,man,True,S,no,True,0
226,1,2,male,-0.8783842059778697,0,0,-0.577712317785515,S,Second,man,True,S,yes,True,0
227,0,3,male,-0.7378693477406777,0,0,-0.8171364171248408,S,Third,man,True,S,no,True,0
228,0,2,male,-0.9720607781359979,0,0,-0.39353993367834134,S,Second,man,True,S,no,True,0
229,0,3,female,0.12387246031513621,3,1,0.5248688107012192,S,Third,woman,False,S,no,False,4
231,0,3,male,0.05838151560341,0,0,-0.7784602164623343,S,Third,man,True,S,no,True,0
233,1,3,female,-2.1898562161916617,4,2,0.9610479514299205,S,Third,child,False,S,yes,False,6
234,0,2,male,-0.41000134518722986,0,0,-0.577712317785515,S,Second,man,True,S,no,True,0
235,0,3,female,0.12387246031513621,0,0,-0.7950357310319799,S,Third,woman,False,S,no,True,0
236,0,2,male,1.46353009797533,1,0,0.5641564636789616,S,Second,man,True,S,no,False,1
237,1,2,female,-1.9088264997172775,0,2,0.582573702089679,S,Second,child,False,S,yes,False,2
238,0,2,male,-0.8783842059778697,0,0,-0.577712317785515,S,Second,man,True,S,no,True,0
239,0,2,male,0.43308780423592214,0,0,-0.44694992506942166,S,Second,man,True,S,no,True,0
240,0,3,female,0.12387246031513621,1,0,-0.28641054129088067,C,Third,woman,False,C,no,False,1
242,0,2,male,0.05838151560341,0,0,-0.577712317785515,S,Second,man,True,S,no,True,0
243,0,3,male,-0.5973544895034857,0,0,-0.8263450363301994,S,Third,man,True,S,no,True,0
244,0,3,male,0.15205808776153817,0,0,-0.8189781409659125,C,Third,man,True,C,no,True,0
246,0,3,female,-0.31632477302910195,0,0,-0.7784602164623343,S,Third,woman,False,S,no,True,0
247,1,2,female,-0.41000134518722986,0,2,-0.28303650321403717,S,Second,woman,False,S,yes,False,2
248,1,1,male,0.8077940928684338,1,1,2.520376592502445,S,First,man,True,S,yes,False,2
249,0,2,male,2.4002958195566095,1,0,0.5641564636789616,S,Second,man,True,S,no,False,1
250,0,3,male,0.12387246031513621,0,0,-0.8171364171248408,S,Third,man,True,S,no,True,0
251,0,3,female,0.05838151560341,1,1,-0.5804749035471226,S,Third,woman,False,S,no,False,2
253,0,3,male,0.15205808776153817,1,0,-0.16516617738544598,S,Third,man,True,S,no,False,1
254,0,3,female,1.182500381500946,0,2,0.13779739447085435,S,Third,woman,False,S,no,False,2
255,1,3,female,0.05838151560341,0,2,-0.2280941975871853,C,Third,woman,False,C,yes,False,2
259,1,2,female,2.0255895309240977,0,1,0.5641564636789616,S,Second,woman,False,S,yes,False,1
261,1,3,male,-2.3772093605079174,4,2,0.9610479514299205,S,Third,child,False,S,yes,False,6
263,0,1,male,1.088823809342818,0,0,-1.3512363310356441,S,First,man,True,S,no,True,0
264,0,3,female,0.12387246031513621,0,0,-0.780301940303406,Q,Third,woman,False,Q,no,True,0
265,0,2,male,0.7141175207103057,0,0,-0.577712317785515,S,Second,man,True,S,no,True,0
266,0,3,male,-1.1594139224522537,4,1,1.572500266665737,S,Third,man,True,S,no,False,5
267,1,3,male,-0.31632477302910195,1,0,-0.7784602164623343,S,Third,man,True,S,yes,False,1
